trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
222572,9:14:00,9:14:00,BWE,3,0,0,1
222572,9:20:00,9:20:00,OTN,4,0,0,1
222572,9:28:00,9:28:00,BWI,5,0,0,1
222572,9:34:00,9:34:00,HAE,6,0,0,1
222572,9:41:00,9:41:00,WBL,7,0,0,1
222572,9:53:00,9:53:00,BAL,8,0,0,1
222574,11:05:00,11:05:00,WAS,1,0,0,1
222574,11:16:00,11:16:00,NCR,2,0,0,1
222574,11:24:00,11:24:00,BWE,3,0,0,1
222574,11:30:00,11:30:00,OTN,4,0,0,1
222574,11:38:00,11:38:00,BWI,5,0,0,1
222574,11:43:00,11:43:00,HAE,6,0,0,1
222574,11:50:00,11:50:00,WBL,7,0,0,1
222574,12:09:00,12:09:00,BAL,8,0,0,1
222576,12:40:00,12:40:00,WAS,1,0,0,1
222576,12:52:00,12:52:00,NCR,2,0,0,1
222576,13:00:00,13:00:00,BWE,3,0,0,1
222576,13:06:00,13:06:00,OTN,4,0,0,1
222576,13:14:00,13:14:00,BWI,5,0,0,1
222576,13:20:00,13:20:00,HAE,6,0,0,1
222576,13:27:00,13:27:00,WBL,7,0,0,1
222576,13:39:00,13:39:00,BAL,8,0,0,1
222578,17:28:00,17:28:00,WAS,1,0,0,1
222578,17:39:00,17:39:00,NCR,2,0,0,1
222578,17:47:00,17:47:00,BWE,3,0,0,1
222578,17:53:00,17:53:00,OTN,4,0,0,1
222578,18:01:00,18:01:00,BWI,5,0,0,1
222578,18:07:00,18:07:00,HAE,6,0,0,1
222578,18:14:00,18:14:00,WBL,7,0,0,1
222578,18:28:00,18:28:00,BAL,8,0,0,1
222580,21:25:00,21:25:00,BAL,1,0,0,1
222580,21:32:00,21:32:00,WBL,2,0,0,1
222580,21:38:00,21:38:00,HAE,3,0,0,1
222580,21:45:00,21:45:00,BWI,4,0,0,1
222580,21:52:00,21:52:00,OTN,5,0,0,1
222580,21:58:00,21:58:00,BWE,6,0,0,1
222580,22:06:00,22:06:00,NCR,7,0,0,1
222580,22:25:00,22:25:00,WAS,8,0,0,1
222582,14:35:00,14:35:00,MSA,1,0,0,1
222582,14:58:00,15:01:00,BAL,2,0,0,1
222582,15:08:00,15:08:00,WBL,3,0,0,1
222582,15:14:00,15:14:00,HAE,4,0,0,1
222582,15:21:00,15:21:00,BWI,5,0,0,1
222582,15:28:00,15:28:00,OTN,6,0,0,1
222582,15:34:00,15:34:00,BWE,7,0,0,1
222582,15:42:00,15:42:00,NCR,8,1,0,1
222582,16:01:00,16:01:00,WAS,9,0,0,1
222590,11:00:00,11:00:00,BAL,1,0,0,1
222590,11:07:00,11:07:00,WBL,2,0,0,1
222590,11:13:00,11:13:00,HAE,3,0,0,1
222590,11:20:00,11:20:00,BWI,4,0,0,1
222590,11:27:00,11:27:00,OTN,5,0,0,1
222590,11:33:00,11:33:00,BWE,6,0,0,1
222590,11:51:00,11:51:00,NCR,7,0,0,1
222590,12:02:00,12:02:00,WAS,8,0,0,1
222798,15:10:00,15:10:00,SKT,1,0,0,1
222798,15:20:00,15:20:00,SKN,2,0,0,1
223317,14:55:00,14:55:00,CIC,1,0,1,1
223317,15:20:00,15:20:00,ORV,2,0,0,1
223317,15:55:00,15:55:00,MRV,3,0,0,1
223317,17:00:00,17:15:00,SAC,4,0,0,1
223317,17:30:00,17:30:00,EKG,5,0,0,1
223317,18:20:00,18:20:00,SKN,6,1,0,1
223413,1:00:00,1:00:00,EMY,1,0,0,1
223413,1:30:00,1:30:00,SFC,2,0,0,1
224561,16:00:00,16:00:00,MKE,1,0,0,1
224561,16:09:00,16:10:00,MKA,2,0,0,1
224561,16:22:00,16:23:00,SVT,3,0,0,1
224561,17:00:00,17:01:00,GLN,4,0,0,1
224561,17:29:00,17:29:00,CHI,5,0,0,1
225626,9:15:00,9:15:00,CHI,1,0,0,1
225626,9:54:00,9:56:00,HMW,2,0,0,1
225626,10:26:00,10:27:00,KKI,3,0,0,1
225626,10:51:00,10:52:00,GLM,4,0,0,1
225626,11:19:00,11:20:00,RTL,5,0,0,1
225626,11:47:00,11:49:00,CHM,6,0,0,1
225626,12:32:00,12:33:00,MAT,7,0,0,1
225626,12:56:00,12:57:00,EFG,8,0,0,1
225626,13:43:00,13:44:00,CEN,9,0,0,1
225626,14:17:00,14:17:00,DQN,10,0,0,1
225626,14:45:00,14:45:00,CDL,11,0,0,1
228161,13:15:00,13:15:00,MCD,1,0,0,1
228161,35:05:00,35:05:00,LBO,2,0,0,1
228161,39:05:00,39:05:00,GLY,3,0,0,1
228161,39:50:00,39:50:00,SJC,4,0,0,1
228162,9:20:00,9:20:00,SJC,1,0,0,1
228162,10:05:00,10:05:00,GLY,2,0,0,1
228162,32:00:00,32:00:00,LBO,3,0,0,1
228162,36:10:00,36:10:00,MCD,4,0,0,1
228270,13:55:00,13:55:00,LAX,1,0,0,1
228270,14:15:00,14:15:00,GDL,2,0,1,1
228270,16:45:00,16:45:00,BFD,3,1,0,1
233011,11:25:00,11:25:00,EMY,1,0,1,1
233011,12:00:00,12:00:00,SFC,2,1,0,1
237851,19:00:00,19:00:00,LNS,1,0,0,1
237851,19:40:00,19:40:00,JXN,2,0,1,1
237851,20:25:00,20:25:00,ARB,3,0,1,1
237851,21:10:00,21:10:00,DER,4,0,1,1
237851,21:30:00,21:30:00,DET,5,0,1,1
237851,22:35:00,22:35:00,TOL,6,0,0,1
237861,6:30:00,6:30:00,TOL,1,0,0,1
237861,7:35:00,7:35:00,DET,2,1,0,1
237861,7:50:00,7:50:00,DER,3,1,0,1
237861,8:40:00,8:40:00,ARB,4,1,0,1
237861,9:25:00,9:25:00,JXN,5,1,0,1
237861,10:05:00,10:05:00,LNS,6,0,0,1
238271,17:05:00,17:05:00,KCY,1,0,0,1
238271,17:24:00,17:24:00,IDP,2,0,0,1
238271,17:41:00,17:41:00,LEE,3,0,0,1
238271,18:24:00,18:24:00,WAR,4,0,0,1
238271,18:54:00,18:54:00,SED,5,0,0,1
238271,20:12:00,20:12:00,JEF,6,0,0,1
238271,20:57:00,20:57:00,HEM,7,0,0,1
238271,21:24:00,21:24:00,WAH,8,0,0,1
238271,22:13:00,22:13:00,KWD,9,0,0,1
238271,22:45:00,22:45:00,STL,10,0,0,1
238576,16:00:00,16:00:00,FHD,1,0,0,1
238576,16:30:00,16:30:00,KIL,2,0,1,1
238576,17:15:00,17:15:00,TPL,3,0,0,1
